,代码,名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
139,000803,北清环能,16.2,1.29,8.65,109853,173791514.0,12.88,16.4,14.48,14.61,14.91,1.77,7.44,140.35,3.23,3935212648,2392640402
140,601677,明泰铝业,34.55,2.75,8.65,132493,454670016.0,10.57,34.98,31.62,32.05,31.8,0.88,1.94,13.97,2.51,23582281124,23577233369
141,688636,智明达,141.2,11.2,8.62,4418,61005337.0,9.6,142.48,130.0,130.0,130.0,0.82,4.34,77.7,8.85,7107386720,1436777211
142,300592,华凯创意,19.11,1.51,8.58,18431,34576690.0,7.9,19.18,17.79,17.79,17.6,1.26,1.93,-124.83,2.56,5526146117,1823167096
143,002676,顺威股份,4.43,0.35,8.58,156190,67353176.0,9.07,4.45,4.08,4.08,4.08,0.94,2.17,33.65,2.85,3189600000,3189444215
144,002850,科达利,130.3,10.24,8.53,50413,655545696.0,10.0,132.07,120.07,121.0,120.06,1.3,3.27,69.44,7.29,30349534765,20063243754
145,300215,电科院,10.44,0.82,8.52,208225,214296016.0,8.84,10.57,9.72,9.78,9.62,0.83,3.72,47.45,4.37,7916886764,5848134731
146,300421,力星股份,20.83,1.63,8.49,66826,135356377.0,10.36,21.1,19.11,19.31,19.2,0.93,3.6,41.24,4.31,5158245465,3869214702
147,300480,光力科技,32.47,2.54,8.49,39422,125960049.0,8.92,32.85,30.18,30.41,29.93,1.31,2.48,69.02,9.71,8096193511,5160162370
148,603979,金诚信,21.38,1.67,8.47,83352,173897207.0,8.52,21.43,19.75,19.75,19.71,0.71,1.41,26.68,2.69,12644961138,12644961138
149,688076,诺泰生物,57.55,4.49,8.46,33496,186123671.0,8.29,57.6,53.2,54.06,53.06,1.32,7.75,119.3,7.03,12268727690,2485973135
150,002858,力盛赛车,15.07,1.17,8.42,60826,89804851.0,8.63,15.18,13.98,14.0,13.9,2.29,6.26,173.67,3.31,2410082379,1465308001
151,300556,丝路视觉,21.33,1.65,8.38,50690,105641546.0,7.47,21.44,19.97,20.1,19.68,0.89,5.68,76.07,3.66,2522077906,1902758946
152,605277,新亚电子,26.55,2.04,8.32,22305,58387121.0,10.73,26.88,24.25,24.89,24.51,1.15,6.69,20.32,3.3,3622067820,885708000
153,600298,安琪酵母,50.17,3.84,8.29,345700,1747979168.0,3.17,50.96,49.49,50.96,46.33,4.25,4.19,25.24,6.4,41784633510,41344140910
154,603800,道森股份,17.71,1.35,8.25,45122,77749455.0,12.04,17.88,15.91,16.58,16.36,0.85,2.17,-46.09,4.26,3683680000,3683680000
155,002287,奇正藏药,33.98,2.59,8.25,78582,262579277.0,9.02,34.44,31.61,31.61,31.39,1.12,1.49,9.11,5.47,18021481793,17939739335
156,002096,南岭民爆,8.3,0.63,8.21,73831,60167177.0,10.43,8.44,7.64,7.74,7.67,1.07,1.99,74.76,1.5,3081682100,3078054793
157,688596,正帆科技,21.87,1.66,8.21,39016,83107052.0,8.76,21.88,20.11,20.66,20.21,1.29,2.25,51.78,3.22,5609655000,3790049895
158,300668,杰恩设计,14.5,1.1,8.21,33082,47087794.0,7.99,14.58,13.51,13.78,13.4,1.01,5.9,50.14,3.33,1528300000,813046915
159,002170,芭田股份,6.76,0.51,8.16,588230,389365744.0,8.48,6.88,6.35,6.5,6.25,0.84,8.49,53.36,2.94,5995191359,4686171946
160,300508,维宏股份,47.99,3.62,8.16,33751,159118962.0,9.98,48.73,44.3,45.66,44.37,0.92,7.45,49.44,7.27,4362866880,2173530831
161,300887,谱尼测试,63.82,4.81,8.15,13074,82058597.0,8.66,64.33,59.22,59.22,59.01,0.96,3.82,165.84,4.81,8744652777,2181399510
162,002539,云图控股,16.19,1.22,8.15,575473,908359712.0,8.75,16.3,14.99,15.31,14.97,0.76,8.75,20.26,4.47,16353519000,10653799759
163,603626,科森科技,12.21,0.92,8.15,166715,198998334.0,9.21,12.33,11.29,11.35,11.29,0.79,3.44,10.06,2.3,6813105397,5925434368
164,600379,宝光股份,13.3,1.0,8.13,204032,265503564.0,10.98,13.5,12.15,12.17,12.3,0.94,6.18,101.91,7.61,4391680801,4391680801
165,300672,国科微,121.4,9.1,8.1,45282,538729248.0,8.35,121.88,112.5,114.99,112.3,1.05,2.62,-1069.13,17.49,21865002061,21010989724
166,002927,泰永长征,11.35,0.85,8.1,49993,55632029.0,8.86,11.47,10.54,10.62,10.5,1.78,2.25,27.73,2.91,2535086060,2523766024
167,688233,神工股份,71.21,5.33,8.09,24419,170892526.0,10.58,72.35,65.38,66.8,65.88,1.09,3.0,56.95,8.79,11393600000,5804489744
168,600367,红星发展,17.96,1.34,8.06,177746,311470576.0,11.19,18.21,16.35,16.83,16.62,0.61,6.1,38.81,3.65,5268117000,5229952000
169,600210,紫江企业,8.85,0.66,8.06,576784,491042384.0,10.38,8.94,8.09,8.19,8.19,1.1,3.8,20.33,2.55,13423114998,13423114998
170,300319,麦捷科技,14.5,1.08,8.05,349298,502278336.0,9.09,14.8,13.58,13.66,13.42,0.82,5.3,44.51,3.47,12377820513,9547345345
171,688186,广大特材,53.18,3.96,8.05,42012,221328986.0,9.16,54.5,49.99,50.25,49.22,0.77,4.24,38.02,3.67,11393283200,5268010800
172,605286,同力日升,18.3,1.36,8.03,25516,46021678.0,9.33,18.54,16.96,16.99,16.94,2.67,6.08,24.7,2.22,3074400000,768600000
173,300705,九典制药,25.46,1.88,7.97,43755,109161303.0,9.08,25.85,23.71,23.71,23.58,1.19,3.09,26.48,6.37,5974952800,3605460819
174,002568,百润股份,74.49,5.49,7.96,84776,620665552.0,8.72,74.72,68.7,68.84,69.0,0.98,1.66,75.74,16.83,55851493738,38145745147
175,300477,合纵科技,9.78,0.72,7.95,327745,313987856.0,6.62,9.8,9.2,9.2,9.06,0.86,5.44,114.54,4.62,10588495064,5897379198
