,code,market,decimal,prePrice,details
146,688103,1,2,53.73,"10:02:05,52.16,2,1,2"
147,688103,1,2,53.73,"10:02:23,52.16,2,1,2"
148,688103,1,2,53.73,"10:02:26,52.16,4,1,2"
149,688103,1,2,53.73,"10:02:35,52.16,2,2,2"
150,688103,1,2,53.73,"10:02:50,52.16,2,2,2"
151,688103,1,2,53.73,"10:02:53,52.16,4,2,2"
152,688103,1,2,53.73,"10:03:35,52.16,2,1,2"
153,688103,1,2,53.73,"10:03:51,52.16,2,1,2"
154,688103,1,2,53.73,"10:04:06,52.16,2,1,2"
155,688103,1,2,53.73,"10:04:08,52.16,13,4,2"
156,688103,1,2,53.73,"10:04:17,52.04,8,3,1"
157,688103,1,2,53.73,"10:04:44,52.36,2,1,2"
158,688103,1,2,53.73,"10:05:50,52.35,2,1,2"
159,688103,1,2,53.73,"10:05:53,52.35,4,2,2"
160,688103,1,2,53.73,"10:05:56,52.36,4,2,2"
161,688103,1,2,53.73,"10:06:05,52.56,2,1,2"
162,688103,1,2,53.73,"10:06:17,52.36,11,2,1"
163,688103,1,2,53.73,"10:06:20,52.10,13,4,1"
164,688103,1,2,53.73,"10:06:26,52.56,2,1,2"
165,688103,1,2,53.73,"10:06:50,52.56,2,1,2"
166,688103,1,2,53.73,"10:07:17,52.25,2,1,1"
167,688103,1,2,53.73,"10:07:59,52.44,2,1,2"
168,688103,1,2,53.73,"10:08:08,52.44,2,1,2"
169,688103,1,2,53.73,"10:08:42,52.51,2,1,2"
170,688103,1,2,53.73,"10:08:57,52.47,2,1,2"
171,688103,1,2,53.73,"10:09:18,52.47,2,1,2"
172,688103,1,2,53.73,"10:09:57,52.47,2,1,2"
173,688103,1,2,53.73,"10:10:18,52.53,2,1,2"
174,688103,1,2,53.73,"10:10:42,52.24,7,2,1"
175,688103,1,2,53.73,"10:11:17,52.24,8,4,1"
176,688103,1,2,53.73,"10:11:45,52.53,2,1,2"
177,688103,1,2,53.73,"10:12:09,52.53,2,1,2"
178,688103,1,2,53.73,"10:12:33,52.53,2,1,2"
179,688103,1,2,53.73,"10:12:51,52.32,20,3,1"
180,688103,1,2,53.73,"10:12:54,52.24,6,4,1"
181,688103,1,2,53.73,"10:13:24,52.53,2,1,2"
182,688103,1,2,53.73,"10:13:51,52.53,2,1,2"
183,688103,1,2,53.73,"10:14:06,52.51,2,1,2"
184,688103,1,2,53.73,"10:14:15,52.26,2,1,1"
185,688103,1,2,53.73,"10:14:30,52.48,2,2,2"
186,688103,1,2,53.73,"10:14:54,52.48,2,1,2"
187,688103,1,2,53.73,"10:15:09,52.48,4,3,2"
188,688103,1,2,53.73,"10:15:18,52.52,2,2,2"
189,688103,1,2,53.73,"10:15:57,52.52,2,1,2"
190,688103,1,2,53.73,"10:16:21,52.52,2,1,2"
191,688103,1,2,53.73,"10:16:45,52.52,2,1,2"
192,688103,1,2,53.73,"10:17:12,52.52,2,1,2"
193,688103,1,2,53.73,"10:17:33,52.52,2,2,2"
194,688103,1,2,53.73,"10:18:03,52.52,2,1,2"
195,688103,1,2,53.73,"10:18:24,52.55,2,2,2"
196,688103,1,2,53.73,"10:18:51,52.55,2,2,2"
197,688103,1,2,53.73,"10:19:24,52.55,2,1,2"
198,688103,1,2,53.73,"10:19:36,52.56,2,1,2"
199,688103,1,2,53.73,"10:19:42,52.57,2,1,2"
200,688103,1,2,53.73,"10:20:06,52.64,2,1,2"
201,688103,1,2,53.73,"10:20:36,52.64,2,1,2"
202,688103,1,2,53.73,"10:20:54,52.64,2,1,2"
203,688103,1,2,53.73,"10:21:18,52.58,2,1,1"
204,688103,1,2,53.73,"10:21:48,52.56,2,1,2"
205,688103,1,2,53.73,"10:22:12,52.53,2,1,2"
206,688103,1,2,53.73,"10:22:27,52.28,6,3,1"
207,688103,1,2,53.73,"10:23:00,52.53,2,1,2"
208,688103,1,2,53.73,"10:23:30,52.53,2,1,2"
209,688103,1,2,53.73,"10:23:48,52.57,2,2,2"
210,688103,1,2,53.73,"10:24:18,52.57,2,2,2"
211,688103,1,2,53.73,"10:24:42,52.57,2,1,2"
212,688103,1,2,53.73,"10:25:09,52.57,2,1,2"
213,688103,1,2,53.73,"10:25:30,52.57,3,1,2"
214,688103,1,2,53.73,"10:26:00,52.57,3,1,2"
215,688103,1,2,53.73,"10:26:09,52.57,2,1,2"
216,688103,1,2,53.73,"10:26:36,52.57,3,1,2"
217,688103,1,2,53.73,"10:26:57,52.30,2,1,1"
218,688103,1,2,53.73,"10:27:12,52.57,2,1,2"
219,688103,1,2,53.73,"10:27:33,52.57,2,1,2"
220,688103,1,2,53.73,"10:28:00,52.57,2,1,2"
221,688103,1,2,53.73,"10:28:15,52.57,2,1,2"
222,688103,1,2,53.73,"10:28:39,52.58,2,2,2"
223,688103,1,2,53.73,"10:29:09,52.58,2,1,2"
224,688103,1,2,53.73,"10:29:30,52.58,2,1,2"
225,688103,1,2,53.73,"10:29:51,52.34,20,2,1"
226,688103,1,2,53.73,"10:29:54,52.37,14,2,2"
227,688103,1,2,53.73,"10:29:57,52.57,2,1,2"
228,688103,1,2,53.73,"10:30:06,52.38,29,3,1"
229,688103,1,2,53.73,"10:30:09,52.57,2,1,2"
230,688103,1,2,53.73,"10:30:24,52.57,2,1,2"
231,688103,1,2,53.73,"10:30:30,52.34,25,2,1"
232,688103,1,2,53.73,"10:30:33,52.36,4,1,1"
233,688103,1,2,53.73,"10:30:39,52.57,2,1,2"
234,688103,1,2,53.73,"10:30:45,52.36,18,3,1"
235,688103,1,2,53.73,"10:30:54,52.57,2,1,2"
236,688103,1,2,53.73,"10:30:57,52.26,14,4,1"
237,688103,1,2,53.73,"10:31:06,52.36,2,1,2"
238,688103,1,2,53.73,"10:32:03,52.24,9,6,1"
239,688103,1,2,53.73,"10:32:18,52.04,45,4,1"
240,688103,1,2,53.73,"10:32:21,52.13,3,1,2"
241,688103,1,2,53.73,"10:32:48,52.00,62,7,1"
242,688103,1,2,53.73,"10:32:51,52.00,7,3,2"
243,688103,1,2,53.73,"10:34:39,52.02,35,3,1"
244,688103,1,2,53.73,"10:34:42,52.18,8,3,2"
245,688103,1,2,53.73,"10:34:45,52.20,2,1,2"
246,688103,1,2,53.73,"10:34:57,52.22,2,1,2"
247,688103,1,2,53.73,"10:35:12,52.21,2,1,2"
